2020/12/03 13:53:00 [error] 9#9: *30 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/upadate.php?id2"
2020/12/03 13:53:37 [error] 9#9: *36 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/03 14:04:49 [error] 9#9: *39 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /upadate.php?id1 HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 08:56:53 [error] 9#9: *41 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 08:57:09 [error] 9#9: *46 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /upadate.php?id=1 HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 08:57:28 [error] 9#9: *49 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /upadate.php?id=2 HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 08:57:28 [error] 9#9: *49 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/upadate.php?id=2"
2020/12/04 08:57:32 [error] 9#9: *49 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /upadate.php?id=3 HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 08:58:28 [error] 9#9: *54 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /css/basics.css HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
2020/12/04 08:59:16 [error] 9#9: *54 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.18.0.1, server: localhost, request: "GET /upadate.php?id=1 HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:2021", referrer: "http://localhost:2021/read.php"
